Temperature gradient of pure water absorption (m-1  degC-1)
after Roettgers et al. (2013) [1] as distributed with the Water Color Simulator 6 (WASI6) [2]

[1] Roettgers et al. (2013): Pure water spectral absorption, scattering, and real part of refractive index model.
                             Algorithm Theoretical Basis Document "The Water Optical Properties Processor (WOPP).
							 Distribution: Marc Bouvet, ESA/ESRIN
							 Revision 7, May 2013
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.

wavelength_nm	daW/dT
547	-0.0000345
548	-0.000035
549	-0.000033
550	-0.000031
551	-0.000031
552	-0.000031
553	-0.0000325
554	-0.000034
555	-0.000039
556	-0.000044
557	-0.000048
558	-0.000052
559	-0.0000555
560	-0.000059
561	-0.000063
562	-0.000067
563	-0.0000715
564	-0.000076
565	-0.000079
566	-0.000082
567	-0.000084
568	-0.000086
569	-0.000088
570	-0.00009
571	-0.0000905
572	-0.000091
573	-0.0000885
574	-0.000086
575	-0.00008
576	-0.000074
577	-0.000064
578	-0.000054
579	-0.000039
580	-0.000024
581	-0.000002
582	0.00002
583	0.0000465
584	0.000073
585	0.0001
586	0.000127
587	0.0001515
588	0.000176
589	0.000203
590	0.00023
591	0.0002635
592	0.000297
593	0.0003395
594	0.000382
595	0.000434
596	0.000486
597	0.000551
598	0.000616
599	0.0006875
600	0.000759
601	0.000823
602	0.000887
603	0.0009315
604	0.000976
605	0.0009955
606	0.001015
607	0.001005
608	0.000995
609	0.0009595
610	0.000924
611	0.000875
612	0.000826
613	0.0007795
614	0.000733
615	0.000697
616	0.000661
617	0.000627
618	0.000593
619	0.0005545
620	0.000516
621	0.000472
622	0.000428
623	0.000383
624	0.000338
625	0.000288
626	0.000238
627	0.00019
628	0.000142
629	0.0001055
630	0.000069
631	0.0000395
632	0.00001
633	-0.000019
634	-0.000048
635	-0.000077
636	-0.000106
637	-0.000136
638	-0.000166
639	-0.0001925
640	-0.000219
641	-0.0002365
642	-0.000254
643	-0.000263
644	-0.000272
645	-0.0002905
646	-0.000309
647	-0.000332
648	-0.000355
649	-0.0003585
650	-0.000362
651	-0.000351
652	-0.00034
653	-0.0003155
654	-0.000291
655	-0.000241
656	-0.000191
657	-0.000125
658	-0.000059
659	-0.0000025
660	0.000054
661	0.000073
662	0.000092
663	0.000089
664	0.000086
665	0.0000625
666	0.000039
667	0.000014
668	-0.000011
669	-0.0000355
670	-0.00006
671	-0.0000855
672	-0.000111
673	-0.0001515
674	-0.000192
675	-0.0002345
676	-0.000277
677	-0.000311
678	-0.000345
679	-0.0003645
680	-0.000384
681	-0.000395
682	-0.000406
683	-0.000419
684	-0.000432
685	-0.000449
686	-0.000466
687	-0.0004695
688	-0.000473
689	-0.0004645
690	-0.000456
691	-0.0004495
692	-0.000443
693	-0.000442
694	-0.000441
695	-0.000431
696	-0.000421
697	-0.0003755
698	-0.00033
699	-0.0001705
700	-0.000011
701	0.0000625
702	0.000136
703	0.000254
704	0.000372
705	0.0005565
706	0.000741
707	0.0009405
708	0.00114
709	0.001391
710	0.001642
711	0.0019665
712	0.002291
713	0.0026305
714	0.00297
715	0.003317
716	0.003664
717	0.004011
718	0.004358
719	0.0047045
720	0.005051
721	0.005413
722	0.005775
723	0.006166
724	0.006557
725	0.007103
726	0.007649
727	0.008424
728	0.009199
729	0.0101435
730	0.011088
731	0.0120255
732	0.012963
733	0.0136935
734	0.014424
735	0.0147265
736	0.015029
737	0.014985
738	0.014941
739	0.014616
740	0.014291
741	0.0137965
742	0.013302
743	0.0127485
744	0.012195
745	0.0116045
746	0.011014
747	0.0104015
748	0.009789
749	0.009221
750	0.008653
751	0.0080845
752	0.007516
753	0.0069775
754	0.006439
755	0.0058705
756	0.005302
757	0.004778
758	0.004254
759	0.0037965
760	0.003339
761	0.002837
762	0.002335
763	0.0018705
764	0.001406
765	0.0009775
766	0.000549
767	0.0001505
768	-0.000248
769	-0.0006465
770	-0.001045
771	-0.0013915
772	-0.001738
773	-0.002122
774	-0.002506
775	-0.002779
776	-0.003052
777	-0.003303
778	-0.003554
779	-0.0038125
780	-0.004071
781	-0.004285
782	-0.004499
783	-0.0046315
784	-0.004764
785	-0.004934
786	-0.005104
787	-0.0052145
788	-0.005325
789	-0.005384
790	-0.005443
791	-0.005495
792	-0.005547
793	-0.005547
794	-0.005547
795	-0.0055395
796	-0.005532
797	-0.00548
798	-0.005428
799	-0.0052805
800	-0.005133
801	-0.0050005
802	-0.004868
803	-0.0046465
804	-0.004425
805	-0.0041665
806	-0.003908
807	-0.00365
808	-0.003392
809	-0.003082
810	-0.002772
811	-0.002388
812	-0.002004
813	-0.001694
814	-0.001384
815	-0.001015
816	-0.000646
817	-0.00024
818	0.000166
819	0.000631
820	0.001096
821	0.001723
822	0.00235
823	0.003265
824	0.00418
825	0.005361
826	0.006542
827	0.0079885
828	0.009435
829	0.010734
830	0.012033
831	0.012904
832	0.013775
833	0.014129
834	0.014483
835	0.014387
836	0.014291
837	0.0138705
838	0.01345
839	0.0129775
840	0.012505
841	0.011959
842	0.011413
843	0.0108445
844	0.010276
845	0.0096415
846	0.009007
847	0.0084535
848	0.0079
849	0.007162
850	0.006424
851	0.005841
852	0.005258
853	0.0047265
854	0.004195
855	0.0036935
856	0.003192
857	0.0028645
858	0.002537
859	0.0020255
860	0.001514
861	0.001002
862	0.00049
863	-0.000002
864	-0.000494
865	-0.0009465
866	-0.001399
867	-0.001753
868	-0.002107
869	-0.0025305
870	-0.002954
871	-0.003298
872	-0.003642
873	-0.003977
874	-0.004312
875	-0.004597
876	-0.004882
877	-0.005138
878	-0.005394
879	-0.0055415
880	-0.005689
881	-0.0058465
882	-0.006004
883	-0.006132
884	-0.00626
885	-0.0062795
886	-0.006299
887	-0.006309
888	-0.006319
889	-0.0062305
890	-0.006142
891	-0.006024
892	-0.005906
893	-0.005709
894	-0.005512
895	-0.005266
896	-0.00502
897	-0.0047445
898	-0.004469
899	-0.0040755
900	-0.003682
901	-0.00318
902	-0.002678
903	-0.002068
904	-0.001458
905	-0.00073
906	-0.000002
907	0.000874
908	0.00175
909	0.002783
910	0.003816
911	0.0050165
912	0.006217
913	0.007585
914	0.008953
915	0.0105075
916	0.012062
917	0.014099
918	0.016136
919	0.018547
920	0.020958
921	0.023472
922	0.025986
923	0.031541
924	0.037096
925	0.041032
926	0.044968
927	0.0496915
928	0.054415
929	0.0595315
930	0.064648
931	0.070454
932	0.07626
933	0.080983
934	0.085706
935	0.0914135
936	0.097121
937	0.10273
938	0.108339
939	0.1136525
940	0.118966
941	0.1247715
942	0.130577
943	0.136875
944	0.143173
945	0.15075
946	0.158327
947	0.1682655
948	0.178204
949	0.1901105
950	0.202017
951	0.215498
952	0.228979
953	0.2427555
954	0.256532
955	0.268045
956	0.279558
957	0.286938
958	0.294318
959	0.296975
960	0.299632
961	0.297762
962	0.295892
963	0.2913655
964	0.286839
965	0.2805415
966	0.274244
967	0.2660765
968	0.257909
969	0.250037
970	0.242165
971	0.234096
972	0.226027
973	0.216679
974	0.207331
975	0.1976875
976	0.188044
977	0.1781055
978	0.168167
979	0.157638
980	0.147109
981	0.136383
982	0.125657
983	0.1152265
984	0.104796
985	0.0941685
986	0.083541
987	0.0739965
988	0.064452
989	0.0548085
990	0.045165
991	0.0367025
992	0.02824
993	0.0198755
994	0.011511
995	0.0039345
996	-0.003642
997	-0.010235
998	-0.016828
999	-0.016828
1000	-0.016828
1001	-0.023421
1002	-0.030014
1003	-0.0355245
1004	-0.041035
1005	-0.04566
1006	-0.050285
1007	-0.0548115
1008	-0.059338
1009	-0.062782
1010	-0.066226
1011	-0.069473
1012	-0.07272
1013	-0.075377
1014	-0.078034
1015	-0.080002
1016	-0.08197
1017	-0.0838395
1018	-0.085709
1019	-0.0866935
1020	-0.087678
1021	-0.088662
1022	-0.089646
1023	-0.089744
1024	-0.089842
1025	-0.090039
1026	-0.090236
1027	-0.0901375
1028	-0.090039
1029	-0.089547
1030	-0.089055
1031	-0.088563
1032	-0.088071
1033	-0.08689
1034	-0.085709
1035	-0.0848235
1036	-0.083938
1037	-0.082659
1038	-0.08138
1039	-0.0801005
1040	-0.078821
1041	-0.077739
1042	-0.076657
1043	-0.0746885
1044	-0.07272
1045	-0.0718345
1046	-0.070949
1047	-0.0692765
1048	-0.067604
1049	-0.065931
1050	-0.064258
1051	-0.0631755
1052	-0.062093
1053	-0.06042
1054	-0.058747
1055	-0.0573695
1056	-0.055992
1057	-0.0551065
1058	-0.054221
1059	-0.05304
1060	-0.051859
1061	-0.0502845
1062	-0.04871
1063	-0.0475295
1064	-0.046349
1065	-0.0454635
1066	-0.044578
1067	-0.0434955
1068	-0.042413
1069	-0.0415275
1070	-0.040642
1071	-0.0396575
1072	-0.038673
1073	-0.037689
1074	-0.036705
1075	-0.035623
1076	-0.034541
1077	-0.034049
1078	-0.033557
1079	-0.0324745
1080	-0.031392
1081	-0.030211
1082	-0.02903
1083	-0.028046
1084	-0.027062
1085	-0.0259795
1086	-0.024897
1087	-0.023421
1088	-0.021945
1089	-0.020666
1090	-0.019387
1091	-0.018403
1092	-0.017419
1093	-0.0161395
1094	-0.01486
1095	-0.0132855
1096	-0.011711
1097	-0.0103335
1098	-0.008956
1099	-0.0065945
1100	-0.004233
1101	-0.0021665
1102	-0.0001
1103	0.0024585
1104	0.005017
1105	0.0068865
1106	0.008756
1107	0.0113145
1108	0.013873
1109	0.016825
1110	0.019777
1111	0.0225325
1112	0.025288
1113	0.0288305
1114	0.032373
1115	0.036112
1116	0.039851
1117	0.0436885
1118	0.047526
1119	0.0524465
1120	0.057367
1121	0.0628775
1122	0.068388
1123	0.075079
1124	0.08177
1125	0.089839
1126	0.097908
1127	0.107945
1128	0.117982
1129	0.1298885
1130	0.141795
1131	0.156949
1132	0.172103
1133	0.1901105
1134	0.208118
1135	0.2287825
1136	0.249447
1137	0.2745395
1138	0.299632
1139	0.3286605
1140	0.357689
1141	0.3901615
1142	0.422634
1143	0.456976
1144	0.491318
1145	0.5249715
1146	0.558625
1147	0.5878505
1148	0.617076
1149	0.6393145
1150	0.661553
1151	0.6729675
1152	0.684382
1153	0.6864485
1154	0.688515
1155	0.679954
1156	0.671393
1157	0.6565345
1158	0.641676
1159	0.62111
1160	0.600544
1161	0.577518
1162	0.554492
1163	0.5295965
1164	0.504701
1165	0.4789195
1166	0.453138
1167	0.4287345
1168	0.404331
1169	0.3799275
1170	0.355524
1171	0.332301
1172	0.309078
1173	0.2871345
1174	0.265191
1175	0.2455105
1176	0.22583
1177	0.20674
1178	0.18765
1179	0.169938
1180	0.152226
1181	0.136088
1182	0.11995
1183	0.104796
1184	0.089642
1185	0.0752755
1186	0.060909
1187	0.0470345
1188	0.03316
1189	0.0193835
1190	0.005607
1191	-0.0082675
1192	-0.022142
1193	-0.035328
1194	-0.048514
1195	-0.061601
1196	-0.074688
1197	-0.087579
1198	-0.10047
1199	-0.1131635
1200	-0.125857
1201	-0.137764
1202	-0.149671
1203	-0.160495
1204	-0.171319
1205	-0.181848
1206	-0.192377
1207	-0.2021185
1208	-0.21186
1209	-0.2207165
1210	-0.229573
1211	-0.237642
1212	-0.245711
1213	-0.252599
1214	-0.259487
1215	-0.2659815
1216	-0.272476
1217	-0.27838
1218	-0.284284
1219	-0.289893
1220	-0.295502
1221	-0.3000285
1222	-0.304555
1223	-0.308688
1224	-0.312821
1225	-0.3163635
1226	-0.319906
1227	-0.322956
1228	-0.326006
1229	-0.328368
1230	-0.33073
1231	-0.3327965
1232	-0.334863
1233	-0.336339
1234	-0.337815
1235	-0.338602
1236	-0.339389
1237	-0.3397825
1238	-0.340176
1239	-0.340373
1240	-0.34057
1241	-0.3396845
1242	-0.338799
1243	-0.3377165
1244	-0.336634
1245	-0.33565
1246	-0.334666
1247	-0.331714
1248	-0.328762
1249	-0.326597
1250	-0.324432
1251	-0.3213815
1252	-0.318331
1253	-0.3147885
1254	-0.311246
1255	-0.3077035
1256	-0.304161
1257	-0.29993
1258	-0.295699
1259	-0.2906805
1260	-0.285662
1261	-0.280545
1262	-0.275428
1263	-0.2704095
1264	-0.265391
1265	-0.259487
1266	-0.253583
1267	-0.247777
1268	-0.241971
1269	-0.236067
1270	-0.230163
1271	-0.2236685
1272	-0.217174
1273	-0.210975
1274	-0.204776
1275	-0.1982815
1276	-0.191787
1277	-0.1853905
1278	-0.178994
1279	-0.172893
1280	-0.166792
1281	-0.159904
1282	-0.153016
1283	-0.146817
1284	-0.140618
1285	-0.134025
1286	-0.127432
1287	-0.1212325
1288	-0.115033
1289	-0.108637
1290	-0.102241
1291	-0.0954515
1292	-0.088662
1293	-0.081675
1294	-0.074688
1295	-0.0676035
1296	-0.060519
1297	-0.05245
1298	-0.044381
1299	-0.0385455
1300	-0.03271
1301	-0.025627
1302	-0.018544
1303	-0.009467
1304	-0.00039
1305	0.0091685
1306	0.018727
1307	0.028668
1308	0.038609
1309	0.0511905
1310	0.063772
1311	0.0741725
1312	0.084573
1313	0.099223
1314	0.113873
1315	0.1280615
1316	0.14225
1317	0.1574685
1318	0.172687
1319	0.1903275
1320	0.207968
1321	0.2247635
1322	0.241559
1323	0.2608515
1324	0.280144
1325	0.2997205
1326	0.319297
1327	0.3419845
1328	0.364672
1329	0.388301
1330	0.41193
1331	0.434911
1332	0.457892
1333	0.4882245
1334	0.518557
1335	0.5488115
1336	0.579066
1337	0.605233
1338	0.6314
1339	0.6624745
1340	0.693549
1341	0.726814
1342	0.760079
1343	0.793749
1344	0.827419
1345	0.8639255
1346	0.900432
1347	0.9375525
1348	0.974673
1349	1.0317715
1350	1.08887
1351	1.129603
1352	1.170336
1353	1.2229615
1354	1.275587
1355	1.3251645
1356	1.374742
1357	1.428659
1358	1.482576
1359	1.529221
1360	1.575866
1361	1.6337605
1362	1.691655
1363	1.754451
1364	1.817247
1365	1.894748
1366	1.972249
1367	2.0540485
1368	2.135848
1369	2.2268475
1370	2.317847
1371	2.4228285
1372	2.52781
1373	2.643318
1374	2.758826
1375	2.892172
1376	3.025518
1377	3.179997
1378	3.334476
1379	3.5298545
1380	3.725233
1381	3.938008
1382	4.150783
1383	4.3975475
1384	4.644312
1385	4.9106425
1386	5.176973
1387	5.4447905
1388	5.712608
1389	6.0224895
1390	6.332371
1391	6.681988
1392	7.031605
1393	7.5040815
1394	7.976558
1395	8.3885285
1396	8.800499
1397	9.2445305
1398	9.688562
1399	10.142959
1400	10.597356
1401	11.054646
1402	11.511936
1403	11.9133
1404	12.314664
1405	12.659982
1406	13.005299
1407	13.291557
1408	13.577815
1409	13.74499
1410	13.912165
1411	13.955315
1412	13.998464
1413	13.931449
1414	13.864435
1415	13.69497
1416	13.525505
1417	13.23989
1418	12.954275
1419	12.679828
1420	12.405382
1421	12.027843
1422	11.650304
1423	11.192572
1424	10.73484
1425	10.215236
1426	9.695633
1427	9.130027
1428	8.564421
1429	7.964786
1430	7.365151
1431	6.7436995
1432	6.122248
1433	5.4950515
1434	4.867855
1435	4.243551
1436	3.619247
1437	3.016518
1438	2.413789
1439	1.822832
1440	1.231875
1441	0.670166
1442	0.108457
1443	-0.417776
1444	-0.944009
1445	-1.43348
1446	-1.922951
1447	-2.3834145
1448	-2.843878
1449	-3.2532375
1450	-3.662597
1451	-4.052189
1452	-4.441781
1453	-4.793085
1454	-5.144389
1455	-5.464516
1456	-5.784643
1457	-6.0811865
1458	-6.37773
1459	-6.6511715
1460	-6.924613
1461	-7.189578
1462	-7.454543
1463	-7.707575
1464	-7.960607
1465	-8.195881
1466	-8.431155
1467	-8.64389
1468	-8.856625
1469	-9.056021
1470	-9.255417
1471	-9.433319
1472	-9.611221
1473	-9.7639325
1474	-9.916644
1475	-10.049347
1476	-10.18205
1477	-10.293661
1478	-10.405271
1479	-10.487794
1480	-10.570316
1481	-10.637531
1482	-10.704747
1483	-10.742112
1484	-10.779476
1485	-10.812341
1486	-10.845205
1487	-10.850628
1488	-10.856052
1489	-10.860633
1490	-10.865213
1491	-10.83958
1492	-10.813947
1493	-10.794984
1494	-10.776021
1495	-10.750991
1496	-10.72596
1497	-10.683534
1498	-10.641108
1499	-10.59603
1500	-10.550951
1501	-10.491932
1502	-10.432913
1503	-10.369193
1504	-10.305472
1505	-10.247256
1506	-10.189041
1507	-10.108045
1508	-10.027049
1509	-9.9473385
1510	-9.867628
1511	-9.779762
1512	-9.691896
1513	-9.611663
1514	-9.53143
1515	-9.445412
1516	-9.359394
1517	-9.2723715
1518	-9.185349
1519	-9.0973625
1520	-9.009376
1521	-8.918818
1522	-8.82826
1523	-8.740916
1524	-8.653572
1525	-8.5651435
1526	-8.476715
1527	-8.376555
1528	-8.276395
1529	-8.184511
1530	-8.092627
1531	-8.006408
1532	-7.920189
1533	-7.8354165
1534	-7.750644
1535	-7.6536575
1536	-7.556671
1537	-7.474671
1538	-7.392671
1539	-7.307898
1540	-7.223125
1541	-7.138393
1542	-7.053661
1543	-6.9686875
1544	-6.883714
1545	-6.8074585
1546	-6.731203
1547	-6.650569
1548	-6.569935
1549	-6.4943625
1550	-6.41879
1551	-6.3437
1552	-6.26861
1553	-6.1972565
1554	-6.125903
1555	-6.052581
1556	-5.979259
1557	-5.905414
1558	-5.831569
1559	-5.7740765
1560	-5.716584
1561	-5.6502125
1562	-5.583841
1563	-5.5271515
1564	-5.470462
1565	-5.4101975
1566	-5.349933
1567	-5.2945295
1568	-5.239126
1569	-5.1790215
1570	-5.118917
1571	-5.063835
1572	-5.008753
1573	-4.953028
1574	-4.897303
1575	-4.8546355
1576	-4.811968
1577	-4.7660465
1578	-4.720125
1579	-4.676895
1580	-4.633665
1581	-4.581998
1582	-4.530331
1583	-4.491239
1584	-4.452147
1585	-4.4142605
1586	-4.376374
1587	-4.339572
1588	-4.30277
1589	-4.2680575
1590	-4.233345
1591	-4.1901555
1592	-4.146966
1593	-4.114423
1594	-4.08188
1595	-4.0531135
1596	-4.024347
1597	-3.9944555
1598	-3.964564
1599	-3.9341905
1600	-3.903817
1601	-3.880153
1602	-3.856489
1603	-3.828285
1604	-3.800081
1605	-3.7770195
1606	-3.753958
1607	-3.725915
1608	-3.697872
1609	-3.6766585
1610	-3.655445
1611	-3.629652
1612	-3.603859
1613	-3.582726
1614	-3.561593
1615	-3.541545
1616	-3.521497
1617	-3.5014085
1618	-3.48132
1619	-3.463281
1620	-3.445242
1621	-3.4230645
1622	-3.400887
1623	-3.3825665
1624	-3.364246
1625	-3.346769
1626	-3.329292
1627	-3.309927
1628	-3.290562
1629	-3.275536
1630	-3.26051
1631	-3.2415465
1632	-3.222583
1633	-3.2049455
1634	-3.187308
1635	-3.1715185
1636	-3.155729
1637	-3.139578
1638	-3.123427
1639	-3.103419
1640	-3.083411
1641	-3.0693895
1642	-3.055368
1643	-3.036726
1644	-3.018084
1645	-3.0022945
1646	-2.986505
1647	-2.969229
1648	-2.951953
1649	-2.9349185
1650	-2.917884
1651	-2.9050675
1652	-2.892251
1653	-2.876341
1654	-2.860431
1655	-2.842673
1656	-2.824915
1657	-2.8086035
1658	-2.792292
1659	-2.7759
1660	-2.759508
1661	-2.742232
1662	-2.724956
1663	-2.7107735
1664	-2.696591
1665	-2.679074
1666	-2.661557
1667	-2.6439195
1668	-2.626282
1669	-2.612823
1670	-2.599364
1671	-2.575057
1672	-2.55075
1673	-2.5376925
1674	-2.524635
1675	-2.510694
1676	-2.496753
1677	-2.479718
1678	-2.462683
1679	-2.4470545
1680	-2.431426
1681	-2.410333
1682	-2.38924
1683	-2.3733705
1684	-2.357501
1685	-2.3424345
1686	-2.327368
1687	-2.3085255
1688	-2.289683
1689	-2.2706795
1690	-2.251676
1691	-2.2343195
1692	-2.216963
1693	-2.20033
1694	-2.183697
1695	-2.1649745
1696	-2.146252
1697	-2.12753
1698	-2.108808
1699	-2.088358
1700	-2.067908
1701	-2.0497885
1702	-2.031669
1703	-2.015558
1704	-1.999447
1705	-1.980122
1706	-1.960797
1707	-1.942557
1708	-1.924317
1709	-1.9016575
1710	-1.878998
1711	-1.8620435
1712	-1.845089
1713	-1.828456
1714	-1.811823
1715	-1.7892835
1716	-1.766744
1717	-1.7487855
1718	-1.730827
1719	-1.713832
1720	-1.696837
1721	-1.675021
1722	-1.653205
1723	-1.638822
1724	-1.624439
1725	-1.6019805
1726	-1.579522
1727	-1.5598355
1728	-1.540149
1729	-1.5266095
1730	-1.51307
1731	-1.4929815
1732	-1.472893
1733	-1.455778
1734	-1.438663
1735	-1.4220295
1736	-1.405396
1737	-1.384665
1738	-1.363934
1739	-1.345975
1740	-1.328016
1741	-1.3087715
1742	-1.289527
1743	-1.27659
1744	-1.263653
1745	-1.246056
1746	-1.228459
1747	-1.205036
1748	-1.181613
1749	-1.170042
1750	-1.158471
1751	-1.1374185
1752	-1.116366
1753	-1.0971615
1754	-1.077957
1755	-1.0520835
1756	-1.02621
1757	-1.016206
1758	-1.006202
1759	-0.975065
1760	-0.943928
1761	-0.916889
1762	-0.88985
1763	-0.8664275
1764	-0.843005
1765	-0.8199035
1766	-0.796802
1767	-0.7632945
1768	-0.729787
1769	-0.6941505
1770	-0.658514
1771	-0.6183775
1772	-0.578241
1773	-0.545497
1774	-0.512753
1775	-0.470929
1776	-0.429105
1777	-0.382661
1778	-0.336217
1779	-0.293228
1780	-0.250239
1781	-0.2054425
1782	-0.160646
1783	-0.096082
1784	-0.031518
1785	0.0129175
1786	0.057353
1787	0.108176
1788	0.158999
1789	0.2068495
1790	0.2547
1791	0.305885
1792	0.35707
1793	0.4133575
1794	0.469645
1795	0.515406
1796	0.561167
1797	0.6092585
1798	0.65735
1799	0.708816
1800	0.760282
1801	0.8052395
1802	0.850197
1803	0.89178
1804	0.933363
1805	0.9810525
1806	1.028742
1807	1.072173
1808	1.115604
1809	1.1539725
1810	1.192341
1811	1.2366555
1812	1.28097
1813	1.317129
1814	1.353288
1815	1.3943885
1816	1.435489
1817	1.4755855
1818	1.515682
1819	1.556381
1820	1.59708
1821	1.637417
1822	1.677754
1823	1.7237565
1824	1.769759
1825	1.8099355
1826	1.850112
1827	1.893342
1828	1.936572
1829	1.9890425
1830	2.041513
1831	2.092698
1832	2.143883
1833	2.193782
1834	2.243681
1835	2.3015755
1836	2.35947
1837	2.4189715
1838	2.478473
1839	2.542113
1840	2.605753
1841	2.6830525
1842	2.760352
1843	2.8369285
1844	2.913505
1845	2.999483
1846	3.085461
1847	3.177827
1848	3.270193
1849	3.368666
1850	3.467139
1851	3.56296
1852	3.658781
1853	3.7967875
1854	3.934794
1855	4.0978705
1856	4.260947
1857	4.5276395
1858	4.794332
1859	5.0040535
1860	5.213775
1861	5.461102
1862	5.708429
1863	5.9786565
1864	6.248884
1865	6.667966
1866	7.087048
1867	7.5257765
1868	7.964505
1869	8.475551
1870	8.986597
1871	9.6615635
1872	10.33653
1873	11.136848
1874	11.937165
1875	12.843549
1876	13.749932
1877	14.762382
1878	15.774831
1879	16.927096
1880	18.07936
1881	19.366618
1882	20.653875
1883	22.109874
1884	23.565873
1885	25.127938
1886	26.690004
1887	28.353314
1888	30.016624
1889	31.704041
1890	33.391457
1891	35.515191
1892	37.638925
1893	40.186923
1894	42.734922
1895	44.345199
1896	45.955476
1897	47.286124
